PM25,PM10,O3,CO,NO2,SO2,WS,WD,TEMP,RH
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,271,31.3,64
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.7,277,33.3,54
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,281,34.0,50
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,259,28.3,77
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.0,264,29.3,75
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,269,31.4,66
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.5,270,32.5,57
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.5,290,33.2,53
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,262,29.7,64
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,267,31.0,60
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.8,285,32.4,55
10.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.7,292,33.5,51
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,295,34.3,49
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,264,30.1,62
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,268,31.1,59
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.1,269,32.7,53
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.3,265,34.7,47
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,275,36.0,42
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.7,285,30.2,65
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.6,268,31.4,58
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,263,32.8,53
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.5,264,34.0,48
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,275,34.4,47
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.9,277,30.4,67
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,270,31.5,62
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,273,32.8,56
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.3,272,34.1,51
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,281,34.1,52
24.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,279,29.4,73
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,290,30.9,66
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,290,32.9,55
31.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,284,34.5,48
28.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.4,277,35.6,45
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.1,262,28.6,83
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,279,29.5,82
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.2,272,30.2,75
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.1,270,31.8,64
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.9,276,32.7,57
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,282,30.0,65
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.1,277,31.2,62
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.7,272,32.7,56
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.8,288,34.5,50
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.6,285,35.3,48
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.6,266,29.9,63
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.8,268,31.3,59
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.6,264,33.4,53
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.2,274,35.2,47
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.4,287,35.2,48
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,282,29.8,69
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,290,31.0,65
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.6,268,33.1,57
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.8,275,35.1,49
14.142979357544982,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,286,35.0,50
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.9,287,30.5,64
